;name;description;referrals;properties;history
697;Ruescott Melshi;Imprisoned by the Empire, Ruescott Melshi first met Cassian Andor as the two worked elbow-to-elbow at Table Five in the Imperial Narkina 5 facility. Within five years, Melshi would ascend the ranks to become a sergeant in the Rebel Alliance, continuing to work alongside Andor in the quest for freedom for the galaxy.;;{'Appearances': ['Andor']};
698;Rukh;A Noghri assassin, Rukh is an agile hand-to-hand fighter and exceptionally deadly. He loyally serves Grand Admiral Thrawn, handling missions that his master's Imperial subordinates have failed to complete.;;{'Appearances': ['Star Wars Rebels'], 'Gender': ['Male'], 'species': ['Noghri']};
699;Rumi Paramita;This female Frenk bounty hunter was a member of Sugi’s band of hunters, and was brought on to help defend the Felucian farming village that had come under attack by Hondo Ohnaka and his gang. As an expert sniper, she was positioned on a nearby roof, ready to snipe at the Weequay pirates as they launched their assault. She was killed at the hands of Hondo’s Kowokian Monkey Lizard Pikk Mukkmuk when he fired a cannon from Hondo’s tank.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Bounty Hunters'], 'Locations': ['Felucia'], 'Gender': ['Female'], 'species': ['Frenk'], 'Weapons': ['Blaster Rifle']};
700;Runai Sculdun;The wife of the ambitious and unscrupulous Davo Sculdun, Runai plays the part of supportive spouse in her husband's pursuit of upholding Chandrilan custom and connecting their family to senator Mon Mothma and her clan through the arranged marriage of their children.;;{'Appearances': ['Andor']};
701;Rune Haako;A cowardly Neimoidian official, Rune Haako had no shortage of despair during the Trade Federation blockade and invasion of Naboo. As lieutenant to Viceroy Nute Gunray, Haako was privy to his superior's plans and knew of the mysterious Sith patron who was the true mastermind behind their bold maneuvers. Haako, when beyond Sith earshot, openly questioned Gunray's judgment in striking this terrifying alliance. When Queen Amidala retook her capital of Theed, Haako and Gunray were captured and sent to Coruscant for trial and punishment.;;{'Appearances': ['Star Wars: The Phantom Menace (Episode I)', 'Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)'], 'Affiliations': ['Trade Federation', 'Confederacy of Independent Systems'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.96m '], 'species': ['Neimoidian']};
702;Rush Clovis;A Senator from Scipio and an influential representative of the InterGalactic Banking Clan, Clovis was romantically linked with his fellow Senator Padmé Amidala early in their careers. During the Clone Wars, Clovis dealt secretly with Separatist interests on behalf of the Banking Clan while posing as a Republic loyalist. Later in the war, Clovis became the organization’s leader and tried to restore its independence.;['Banking Clan', 'Scipio', 'Senate', 'Padmé Amidala', 'Separatist', 'Republic', 'Sith', 'Count Dooku'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['InterGalactic Banking Clan', 'Galactic Senate'], 'Locations': ['Scipio'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.92m '], 'Weapons': ['Blaster Pistol']};
703;Russo-ISC;Jedi investigators relied on their intuition and connection to the Force to solve most mysteries, but during the waning days of the Republic, this proved alarmingly difficult as the pall of the dark side began to cloud their perceptions. Increasingly, they turned to technological resources available in the Jedi Temple. Russo-ISC was one of many analysis droids employed by the Jedi Temple on Coruscant. He led a team of analysis droids who were plugged into the sensor and security networks of the Temple. With keen perception, a detectable sense of pride, and a strong independent streak, Russo-ISC took on some of the hardest cases the Jedi faced.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Locations': ['Coruscant'], 'droid': ['Crime Scene Analysis Droid']};
704;RX-24 Pilot Droid;"RX-24 was the pilot of the star commuter shuttle that traveled from Lothal to Garel. He was genial but proper; when a young passenger suggested it, he commanded all droids to remain in the rear of the ship as Imperial code dictated. Little did RX-24 know that this was all part of a rebel scheme to gain information from an on-board Imperial.";;{'Appearances': ['Star Wars Rebels'], 'Locations': ['Lothal', 'Garel'], 'Vehicles': ['Star Commuter Shuttle', 'GX1 Short Hauler']};
705;Ryder Azadi;Ryder Azadi is the former governor of Lothal and now an active rebel. When the Empire came to his planet, he stood against Imperial tyranny with the Bridger family, and was accused of treason for doing so. He was later freed from an Imperial prison by the Bridgers and returned to Lothal, living in the city outskirts with just a white Loth-cat as his only companion. Ezra, son of the Bridgers, sought Ryder out to find out what became of his parents.;['rebels', 'Empire', 'Lothal', 'Princess Leia Organa', 'Ghost', 'Kanan', 'Ezra', 'Lothal Imperial Factory', 'TIE defender', 'Mon Mothma', 'Sabine', 'U-wing'];{'Appearances': ['Star Wars Rebels'], 'Locations': ['Lothal'], 'Gender': ['Male'], 'species': ['Human']};
706;Sabine Wren;Sabine Wren was a Mandalorian warrior, explosives expert, and graffiti artist -- qualities that came in handy as one of the first rebels against the Empire. Part of the Ghost crew, Sabine used her gift for bomb-making to great effect against the Empire, and would often mark her work with spray-paint tags. Her classic Mandalorian armor was notable for incorporating her own custom stylings, reflecting her creative-meets-rebellious spirit.;['Ghost', 'stormtroopers', 'Hera', 'GNK droid', 'EG-86', 'Black Sun', 'Ketsu Onyo', 'Ezra', 'Chopper', 'Empire', 'Concord Dawn', 'Mandalorian', 'Hera', 'Fenn Rau', 'A-wings', 'Kanan'];{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Clan Wren'], 'Locations': ['Mandalore', 'Krownest', 'Wren Stronghold'], 'Gender': ['Female'], 'species': ['Human'], 'Weapons': ['Blaster Pistol', 'Smoke Bomb', 'Mandalorian Vambraces'], 'Vehicles': ['Jumpspeeder']};
707;Saesee Tiin;The imposing Saesee Tiin was a member of the Jedi Council during the final years of the Republic. In addition to being a skilled, courageous master of the lightsaber, he was also a capable starfighter pilot.  Tiin voyaged to Naboo to attend the funeral of fallen Jedi Qui-Gon Jinn, and the jubilant celebration that marked the liberation of that outlying world. Ten years after this event, Tiin was still an active member of the Jedi order, and a vital battlefield general in the Clone Wars.;;{'Appearances': ['Star Wars: The Phantom Menace (Episode I)', 'Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.93m '], 'species': ['Iktotchi'], 'Weapons': ['Lightsaber'], 'Vehicles': ['Jedi Starfighter']};
708;Sagwa;Once a mighty Wookiee from the inland tree city of Rwookrrorro, Sagwa was imprisoned and enslaved on Kessel after a failed attempt to defend his people from Imperial occupation. Years of toil inside the spice mines have taken a devastating toll on Sagwa’s body. His fur coat is dotted with balding patches, an outward sign of malnourishment and the untreated illnesses he’s endured, but the struggle has not dampened his spirit. When the brave Chewbacca comes to the rescue, Sagwa is prepared to help guide their people to safety and charter a ship home.;;{'Appearances': ['Solo: A Star Wars Story'], 'Locations': ['Kessel'], 'species': ['Wookiee']};
709;Salman Paak;Salman Paak and his son, Wilmon, operate the Repaak Salyard on Ferrix. Behind bundles of cro-plex and no-tarn tubing, Salman maintains a secret communications rig to contact anonymous rebel agents looking to overthrow Imperial authority.;;{'Appearances': ['Andor']};
710;San Hill;San Hill was a male Muun who was the chairman of the InterGalactic Banking Clan at the onset of the Clone Wars and signed Count Dooku’s treaty. He served as the IG representative on the Separatist Council until he was murdered unceremoniously by the Sith Lord Darth Vader shortly after the end of the war.;;{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)'], 'Affiliations': ['Confederacy of Independent Systems', 'InterGalactic Banking Clan'], 'Locations': ['Geonosis', 'Utapau', 'Mustafar', 'Muunilinst'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.91m '], 'species': ['Muun']};
711;Sana Starros;As captain of the Volt Cobra, the smuggler and swindler Sana Starros has a reputation for no-nonsense business dealings that make even Han Solo blush. But beneath the hardened shell is a scoundrel with a heart, willing to risk her life for credits that will benefit those in need or join a band of rebels to overthrow the Empire.;;{'Locations': ['Nar Shaddaa'], 'Gender': ['Female'], 'species': ['Human']};
712;Saponza;Saponza is a battle-hardened smuggler and mercenary, known for his smooth talking ways. After the Battle of Yavin, Saponza and his partner return to Tatooine to set up a business. Hoping to leave their lives as mercenaries behind, they nonetheless become involved in a conflict with Jabba the Hutt. Eventually they are caught up in the Galactic Civil War and forced to choose a side.;;{'Locations': ['Tatooine'], 'Gender': ['Male'], 'species': ['Human'], 'Vehicles': ['The Strix']};
713;Sarco Plank;An eyeless insectoid member of the Melitto species, Sarco Plank is an amoral scavenger, bounty hunter and arms dealer who does business in Niima Outpost on Jakku. During the Galactic Civil War he made a living as a tomb raider, once serving as a guide for a young Luke Skywalker on Devaron. Sarco dueled Skywalker with his electrostaff, an encounter that left the scavenger with a near-fatal lightsaber wound and a healthy respect for Jedi abilities.;;{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Locations': ['Jakku'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.82m ']};
714;Savage Opress;Savage Opress was once a common Nightbrother whose fighting prowess impressed Asajj Ventress. Transformed into a monstrous warrior by Mother Talzin, Opress became Count Dooku's new assassin and secret Sith apprentice. His loyalty, however, remained to Talzin. The Nightsisters leader gave Savage a new quest: to find his brother, Darth Maul, who had somehow survived his apparent death and was living in exile in the Outer Rim. Savage located Maul and became his brother’s enforcer in the Shadow Collective, but died when Darth Sidious confronted the two Sith warriors on Mandalore.;['Nightbrother', 'Dathomir', 'Asajj Ventress', 'Count Dooku', 'Mother Talzin', 'Devaron', 'Toydaria', 'Nightsisters', 'Darth Maul', 'Sith', 'Shadow Collective', 'Darth Sidious'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Nightbrothers'], 'Locations': ['Dathomir', 'Devaron'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.89m '], 'species': ['Dathomirian']};
715;Saw Gerrera;A battered veteran of the Clone Wars, at the dawn of the Empire Saw Gerrera continues to lead a band of insurgents and extremists, the first of what will become countless rebel cells locked in a civil war with the Empire. Saw loses much in his decades of combat, but occasional flashes of the charismatic and caring man he once was shine through his calloused exterior. Even in his later years, when Gerrera is bunkered on the ancient world of Jedha, coordinating a prolonged insurgency against the Imperial occupation, his ailing health does little to wither his resolve to fight.;['Empire', 'Geonosis', 'Ghost', 'Geonosian', 'Ezra', 'Klik-Klak', 'Ghost', 'Rebellion', 'Sabine', 'Ezra', 'Chopper', 'kyber crystal', 'Star Destroyer'];{'Appearances': ['Rogue One: A Star Wars Story', 'Andor', 'Star Wars: The Bad Batch', 'Star Wars: The Clone Wars', 'Star Wars Rebels'], 'Affiliations': ['Rebel Alliance', 'Onderon Rebels'], 'Locations': ['Onderon'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.87m '], 'Weapons': ['Blaster Rifle']};
716;SC-X2;As the Yellow Ace reconfigures mid-air to perform a high-flying stunt, SC-X2 is at the controls, making calculations to help pilot Bo Keevil at the helm. The finicky tech can be volatile even in practiced hands, so the droid has been reinforced to withstand most crashes and ship malfunctions.;;{'Appearances': ['Star Wars Resistance'], 'Locations': ['Colossus'], 'star wars': ['Droid']};
717;Sebulba;A crafty, vicious Dug, Sebulba became one of the Outer Rim's most successful Podracers. Whether roaming the streets of Mos Espa or piloting his massive orange Podracer, Sebulba was aggressive and arrogant. He was not above cheating to win a race, and would even resort to illegal weapons in an attempt to defeat his opponents. Sebulba was Mos Espa's reigning Podrace champion until he entered the Boonta Eve Classic, where he was defeated by young Anakin Skywalker, much to the Dug's frustration.;['Dug', 'Malastare', 'Mos Espa', 'podracer', 'Anakin Skywalker'];"{'Appearances': ['Star Wars: The Phantom Menace (Episode I)'], 'Affiliations': ['Boonta Eve Classic Podracer Pilots'], 'Locations': ['Malastare', 'Tatooine'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.12m '], 'species': ['Dug'], 'Vehicles': [""Sebulba's Podracer""]}";
718;Second Sister;Ambitious and cruel, the Second Sister is one of the deadliest members of the Imperial Inquisition. She relishes hunting down both Force-sensitives and political dissidents for the Empire. Although she is an expert lightsaber duelist and adept with the dark side of the Force, the Second Sister's greatest weapon is her brilliant ability to deduce and predict the behavior of her prey.;;{'Affiliations': ['Galactic Empire'], 'Gender': ['Female']};
719;Seevor;Seevor is an ore crawler captain, like his father before him. Fearlessly dedicated to the Mining Guild, he hates pirates and will stop at nothing to protect his vessel and family legacy.;;{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Mining Guild'], 'Gender': ['Male'], 'Vehicles': ['Ore Crawler']};
720;Seezelslak;An Azumel and boisterous owner of his namesake cantina outside Black Spire Outpost. He’s the kind of barkeep that will spend an hour talking your ear off. And he really doesn’t like porgs.;;{'Locations': ['Batuu', 'Black Spire Outpost']};
721;Senator Avi Singh;In the age of the Republic, Senator Avi Singh was an outspoken advocate of pulling away from the core government. As a political powerhouse based on Raxus, Singh and his like-minded senators turned the lush world into the capital of the Confederacy of Independent Systems. For a brief moment after the fall of the Republic, a defeated Singh considers bowing to the Imperial rule to protect the people of his planet. But in the end, his zest for freedom wins out over the Empire's nefarious means of persuasion.;;{'Appearances': ['Star Wars: The Bad Batch']};
722;Senator Gani Riduli;An Imperial Senator representing the Banking Clan, Gani Riduli cares only for the protection of the galaxy's wealth. With Kamino's clone production facilities wiped out, he is among those in favor of the Defense Recruitment Bill, a key component in the creation of the Empire's conscripted stormtrooper soldiers.;;{'Appearances': ['Star Wars: The Bad Batch']};
723;Senator Nower Jebel;Nower Jebel speaks for the agricultural world of Uyter, and secretly serves as the Rebel Alliance’s Minister of Finance. Despite the Empire’s depredations, Jebel continues to believe in the Senate and the possibility of a negotiated settlement between the Emperor and his political foes. Senator Jebel finds the idea of open warfare appalling and is determined to avoid another galaxy-spanning conflict.;;{'Appearances': ['Rogue One: A Star Wars Story'], 'Affiliations': ['Rebel Alliance', 'Galactic Senate'], 'Gender': ['Male'], 'species': ['Human']};
724;Senator Tynnra Pamlo;A senator from the ancient world of Taris, Tynnra Pamlo serves as the Alliance’s Minister of Education. She works closely with Alliance Intelligence, and has seen evidence of Imperial atrocities on far too many worlds. While a determined opponent of Emperor Palpatine, Senator Pamlo is reluctant to expose her homeworld and people to Imperial reprisals.;;{'Appearances': ['Rogue One: A Star Wars Story'], 'Affiliations': ['Rebel Alliance', 'Galactic Senate'], 'Gender': ['Female'], 'species': ['Human']};
725;Senator Vasp Vaspar;Vasp Vaspar represents the Taldot sector, an industrial powerhouse in the Mid Rim, and has brought his expertise to his secret position as the Alliance’s Minister of Industry. The Clone Wars devastated his sector’s planets, leaving Senator Vaspar eager to avoid warfare. But his reluctance is more practical than principled: he knows all too well the Alliance is badly strapped for credits.;;{'Appearances': ['Rogue One: A Star Wars Story'], 'Affiliations': ['Rebel Alliance', 'Galactic Senate'], 'Gender': ['Male'], 'species': ['Human']};
726;Sentinel;The strutting, crowing, laser-blasting proof that the Empire is eternal and will return. Sentinel is the Hunter who the audience loves to hate. An unambiguous villain, he luxuriates in the animosity of the crowd. The last survivor of several regiments, this invincible soldier honors his fallen comrades with his bandolier of badges, and has vowed to avenge them by destroying the Empire’s enemies.;;{};
727;Service Droid;Inside Doza Tower, the top racers, their approved visitors, and elite guests are served by a droid programmed to deliver decadent food and specialty drinks at the snap of a finger. Elsewhere on the platform, the same type of droids can be seen shuffling around the Colossus on spindly legs, efficiently shuttling crates to and fro as long as their paths are clear of disruptions. Interference can cause them to lose their balance quite easily.;;{'Appearances': ['Star Wars Resistance'], 'Locations': ['Colossus', 'Doza Tower'], 'star wars': ['Droid']};
728;Seventh Sister Inquisitor;Quick, agile, and deadly, the Seventh Sister Inquisitor was strong with the dark side and one of the Empire’s elite Jedi hunters — and was dispatched by Darth Vader to find Ahsoka Tano and her rebel friends. She often employed the use of ID9 seeker droids on her missions, and carried the same model double-bladed lightsaber wielded by the Grand Inquisitor. A green-skinned Mirialan, the Seventh Sister’s past — and how she came to enter the Inquisitorius — remains a mystery.;;{'Appearances': ['Star Wars Rebels'], 'Gender': ['Female'], 'species': ['Mirialan'], 'droid': ['ID9 Seeker Droid'], 'Weapons': ['Lightsaber']};
729;Shaak Ti;A wise and patient Jedi Master, the Togruta Shaak Ti fought at the Battle of Geonosis, and supervised the training of clone cadets on Kamino. There, she struggled to balance the necessity of producing capable troopers with compassion for the clones as living beings. Ti helped defend Kamino against Separatist attack, balancing assignments in the field with her duties on the Jedi Council.;['Republic', 'Togruta', 'Geonosis', 'Kamino', 'Kaminoan', 'Echo', 'Fives', 'Separatist', 'Tup'];{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.87m '], 'species': ['Togruta'], 'Weapons': ['Lightsaber']};
730;Shaeeah Lawquane;The eldest of two, Shaeeah Lawquane knows few playmates on the backwater world of Saleucami, but has a keen understanding of the dangers that lurk beyond the relative safety of the family farm. Aside from her brother, Jek, and their parents, the only family she knows are her many uncles who bear a striking resemblance to her father. ;;"{'Appearances': ['Star Wars: The Bad Batch', 'Star Wars: The Clone Wars'], 'Locations': ['Saleucami'], 'Gender': ['Female'], 'species': [""Twi'lek""]}";
731;Shahan Alama;A tough Weequay bounty hunter with a mechanical arm, Shahan Alama signed on with Cad Bane for a daring raid on the Senate Building. Alama relished the chance to hunt Anakin Skywalker through Coruscant's darkened corridors of power.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Weequay Pirates'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.85m '], 'species': ['Weequay'], 'Weapons': ['Blaster Pistol', 'Blaster Rifle']};
732;Shen;"No one knows the true identity of the mysterious pilot known as ""Shen"". After being shot down and breaking his neck, Shen was reconstructed with Imperial cybernetics and never removes his helmet. Shen's enhancements allow him to survive battles and crash landings that would kill most TIE pilots, but at a cost each time. Though quiet and stoic, Shen nevertheless remains firmly loyal to the Empire that rebuilt him, and to his fellow Titan pilots.";;{};
733;Shep Hazard;The gregarious Mayor of Pabu, Shep Hazard welcomes refugees to the hidden island as if they're already his kin. With other family members, including Phee Genoa and his daughter, Lyana, Shep has carved out a peaceful existence in a tumultuous time for the galaxy.;;{'Appearances': ['Star Wars: The Bad Batch']};
734;Shmi Skywalker Lars;The mother of Anakin Skywalker was also a brave and resilient woman who survived life as a slave to become a Tatooine moisture farmer. Shmi surrendered her son to the Jedi Order, putting him on a path to become one of the greatest Jedi. Her death at the hands of Tusken Raiders became a critical step on Anakin's journey to the dark side.;['Tatooine', 'Anakin', 'Mos Espa', 'Qui-Gon Jinn', 'Coruscant', 'Cliegg Lars', 'Watto', 'Tusken Raiders'];{'Appearances': ['Star Wars: The Phantom Menace (Episode I)', 'Star Wars: Attack of the Clones (Episode II)', 'Star Wars: The Clone Wars'], 'Locations': ['Tatooine', 'Lars Farm'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.63m ']};
735;Shriv;A misanthrope with a heart of gold, Shriv commands Danger Squadron in the Rebel Alliance. Shriv -- a longtime friend of Lando Calrissian and ally of Leia Organa -- is a reliable officer in the rebellion’s ranks, having assisted in the Liberation of Sullust, Battle of Endor, and other key victories.;;{'Affiliations': ['Rebel Alliance'], 'Gender': ['Male'], 'species': ['Duros']};
736;Shu Mai;Shu Mai is a female Gossam from planet Castell who uses her influence as the Presidente of the Commerce Guild to gain a seat on the Separatist Council. She pledged her support for the Confederacy in secret meetings on Geonosis just prior to the start of the Clone War, but it was this allegiance that eventually led to her death on the planet Mustafar at the hands of Darth Vader.;;{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)'], 'Affiliations': ['Confederacy of Independent Systems', 'Commerce Guild'], 'Locations': ['Geonosis', 'Mustafar', 'Castell'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.65m ']};
737;Shydopp Pirate;The Shydopp pirate gangs have been a menace to the Imperial mining operation on Morak, being bold enough to attack even well-armored Imperial transports to steal valuable materials.;;{'Appearances': ['The Mandalorian'], 'Locations': ['Morak'], 'Vehicles': ['Shydopp Pirate Skiff']};
738;Sib Canay;This officer of the Neimoidian Trade Federation led the blockade of Pantora. His goal was to bring the Pantorans into the fold of the Separatist Alliance by any means necessary. To Canay, he felt those means included hiring the bounty hunter Greedo and others to kidnap the daughters of Chairman Papanoida. Eventually, he was defeated by Jedi padawan Ahsoka Tano, surrendering to her and promising to end the blockade.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Trade Federation', 'Confederacy of Independent Systems'], 'Locations': ['Cato Neimoidia', 'Pantora'], 'Gender': ['Male'], 'species': ['Neimoidian'], 'Vehicles': ['Trade Federation Battleship'], 'Weapons': ['Blackmail']};
739;Sidon Ithano;Variously known as the Crimson Corsair, the Blood Buccaneer and the Red Raider, Sidon Ithano is the captain of the pirate ship Meson Martinet. A Delphidian, Ithano keeps his face concealed behind a red Kaleesh helmet. The Crimson Corsair rarely speaks, leaving the talking to his first mate, Quiggold. But his exploits speak for themselves: spacers whisper of his deeds in the Lost Clusters, at Adratharpe 7, and in Ponemah’s Sea of Sand, to name just a few adventures.;;{'Appearances': ['Star Wars: The Force Awakens (Episode VII)', 'Star Wars Resistance'], 'Gender': ['Male'], 'Vehicles': ['Meson Martinet'], 'Weapons': ['Blaster Rifle']};
740;Sifo-Dyas;A member of the Jedi Council before the blockade of Naboo, Sifo-Dyas believed the galaxy would soon be plunged into war, and agitated for the Republic to create an army for its defense. After the other Jedi rejected his ideas and removed him from the council, he secretly contacted the Kaminoans and commissioned them to create a clone army, which he led the Kaminoans to believe was for the Republic. In doing so, Sifo-Dyas became an unwitting pawn of the Sith, who took over the project and hired the Pyke Syndicate to murder Sifo-Dyas on Oba Diah’s moon. A decade after Sifo-Dyas’ death, Obi-Wan Kenobi discovered the army he had commissioned, now ready for duty. The Jedi took control of this army on Supreme Chancellor Palpatine’s orders, setting the Clone Wars in motion.;;"{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Locations': ['Coruscant', ""Oba Diah's Moon""], 'Gender': ['Male'], 'Weapons': ['Lightsaber']}";
741;Silman;Silman, a human male from Coruscant, was the aide of Finis Valorum prior to the invasion of Naboo by the Trade Federation. He was sent on a secret mission by the Supreme Chancellor to accompany Jedi Master Sifo-Dyas to help negotiate a dispute with the Pyke Syndicate. They were ambushed by the Pykes and shot down over Oba Diah’s moon.  Silman was captured by the Syndicate and spent over a decade in Pyke captivity where he slowly went insane. Eventually he was able to let the Jedi know that someone wanted to assume Sifo-Dyas’s identity before he was murdered by Count Dooku.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Senate'], 'Locations': ['Oba Diah', 'Coruscant'], 'Gender': ['Male'], 'species': ['Human'], 'Vehicles': ['Jedi T-6 Shuttle']};
742;Sim Aloo;Sim Aloo was a skeletal looking human clad in flowing purple robes and wore an impressive hat. He served as one of Emperor Palpatine’s closest advisors during the time of the Galactic Empire. He traveled with the Emperor to the second Death Star to oversee the final stages of its construction over Endor. Presumably, he was still aboard when the Death Star was destroyed by the Rebellion.;;{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)'], 'Affiliations': ['Galactic Empire'], 'Locations': ['Coruscant', 'Death Star II'], 'Gender': ['Male'], 'species': ['Human']};
743;Sinrich;Though his snaggletoothed grin made him appear friendly, Sinrich was a master of deception. He invented the holographic disguise matrix, an advanced form of holographic projection that cloaked a user in a vivid projection recreating the visage of another person. It was more than just a mere mask -- the experimental holographic matrix compensated for the differences in sizes between disguise and disguised, allowing beings of distinct stature and build to convincingly pose as their physical opposites.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.74m '], 'species': ['Snivvian'], 'Weapons': ['Blaster Pistol']};
744;Sio Bibble;Sio Bibble was the outspoken governor of Naboo. When the Trade Federation brazenly blockaded the trade routes to the small pastoral world, Bibble was among the first to suspect invasion. His suspicions proved correct. Bibble, like the rest of the Naboo citizenry, was taken captive by the mechanized armies of the Trade Federation.    Queen Amidala fled to Coruscant with the help of Jedi ambassadors to secure aid from Senator Palpatine. Bibble stayed behind, to placate the Neimoidian invaders and to represent the besieged people. Nute Gunray delighted in toying with Bibble, taunting him about the dire state of the Naboo populace.    After Naboo was liberated, Bibble attended the parade celebrating the newfound freedom.;;{'Appearances': ['Star Wars: The Phantom Menace (Episode I)', 'Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Naboo Royal Advisory Council'], 'Locations': ['Naboo'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.79m ']};
745;Sionver Boll;A brilliant scientist, Sionver Boll put her talents to work for the Republic war effort, developing the electro-proton bomb and investigating whether the Zillo Beast's armored scales could have military applications. But Boll discovered there was a dark side to pursuing such knowledge.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Gender': ['Female'], 'species': ['Bivall']};
746;Sixtat;Sixtat's grim talent for slaying his targets in a gruesome manner earned him the colorful title of the Outlands Butcher. He was a Sakiyan, a species well-suited for hunting big game, thanks to their keen senses and quick reflexes. He translated such talents into bounty hunting, gaining him much notoriety as well as the arrogance to believe he was unstoppable.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.84m '], 'species': ['Sakiyan'], 'Weapons': ['Blaster Pistol']};
747;Slavin;An Imperial military commander, Slavin is mostly considered to be a clumsy strategist, but has seen success under Grand Admiral Thrawn's leadership.;['Twi’lek', 'Ryloth', 'Grand Admiral Thrawn', 'Cham Syndulla’s', 'Hera', 'Empire', 'kyber crystal', 'Ghost', 'Saw Gerrera'];{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Galactic Empire'], 'Gender': ['Male'], 'species': ['Human']};
748;Slingshot;Slingshot is an uncorked literal ball of cackling mayhem – a truly joyful heel for the Arena, and one you can gladly cheer for instead of boo. Driver and vehicle are nearly inseparable: Dizzy doesn't feel right in the world without his droideka by his side. They both like what they've got going and as reckless and wild as Slingshot is in the Arena, they want nothing to change outside it and are very careful and thorough in their efforts to preserve their union.;;{};
749;Slip;After witnessing another clone's murder, Slip is paranoid that his knowledge of the truth in the destruction of Tipoca City will lead to his own demise. Desperate to complete what Cade started and unmask Vice Admiral Rampart before the Imperial Senate, Slip confides in the one senator he can trust: Riyo Chuchi of Pantora.;;{'Appearances': ['Star Wars: The Bad Batch']};
750;Slowen Lo;A proud citizen of Canto Bight, Abednedo entrepreneur Slowen Lo warns Rose and Finn that they can’t park their shuttle on the beach – it belongs in a proper berth at the spaceport. When they ignore his warning, Lo takes his case to the Canto Bight police. Justice will be served!;;{'Appearances': ['Star Wars: The Last Jedi (Episode VIII)'], 'Locations': ['Canto Bight'], 'Gender': ['Male'], 'species': ['Abednedo']};
751;Sly Moore;A pale Umbaran, Sly Moore served as Palpatine’s senior administrative aide during his chancellorship, attending to countless affairs of state. Moore’s enigmatic silence made her the object of considerable curiosity on Coruscant, with rumors abounding about her past and mysterious abilities she supposedly possessed.;;{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)'], 'Affiliations': ['Galactic Empire', 'Galactic Republic'], 'Locations': ['Coruscant', 'Umbara'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.78m '], 'species': ['Umbaran']};
